Charizard
Gengar
Vaporeon
Machamp
Arcanine
Alakazam
Snorlax
Lapras
Dragonite
Jolteon
Nidoking
Scyther
Electabuzz
Pidgeot
Gyarados
Kabutops
Hitmonlee
Rhydon
Venusaur
Raichu
